epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4004,0.80006,1.54248,1.09563,0.55425,0.73378,0.54488,0.45403,0.52443,1.44871,0.9981,0.000474569,0.000474569,0.000474569
2,96.3402,0.82285,1.03421,1.0909,0.52947,0.62635,0.55921,0.46212,0.45806,1.17268,0.94059,0.000932075,0.000932075,0.000932075
3,139.615,0.82437,0.92224,1.09164,0.60586,0.7446,0.5799,0.4804,0.50771,1.24805,0.98529,0.00137072,0.00137072,0.00137072
4,182.117,0.79335,0.8199,1.08902,0.45963,0.5521,0.43805,0.36802,0.53915,1.11673,1.00655,0.00134412,0.00134412,0.00134412
5,224.782,0.78034,0.77988,1.07461,0.44825,0.53336,0.48173,0.4065,0.48078,0.81077,0.95595,0.00131582,0.00131582,0.00131582
6,267.332,0.74721,0.74502,1.06213,0.55161,0.63714,0.53217,0.45949,0.41883,0.82083,0.93499,0.00128753,0.00128753,0.00128753
7,309.993,0.72836,0.69994,1.05192,0.63082,0.79822,0.64645,0.56874,0.40069,1.01667,0.91798,0.00125923,0.00125923,0.00125923
8,352.887,0.72678,0.68667,1.04184,0.70471,0.75597,0.72038,0.63899,0.38614,0.51872,0.90822,0.00123094,0.00123094,0.00123094
9,395.907,0.73212,0.67279,1.04081,0.62323,0.82407,0.68525,0.61049,0.3606,0.55305,0.89456,0.00120265,0.00120265,0.00120265
10,438.838,0.70501,0.65053,1.03857,0.5537,0.72494,0.56984,0.50183,0.40803,0.84412,0.90886,0.00117435,0.00117435,0.00117435
11,481.754,0.70143,0.64344,1.0348,0.63363,0.85475,0.68096,0.59468,0.38553,0.6527,0.90007,0.00114606,0.00114606,0.00114606
