epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8188,0.87639,1.36951,1.19056,0.4402,0.44774,0.41883,0.31427,0.726,1.91039,1.19075,0.000474569,0.000474569,0.000474569
2,99.8967,0.96835,1.11685,1.23364,0.36375,0.45846,0.36726,0.28126,0.62824,2.3837,1.08025,0.000941489,0.000941489,0.000941489
3,147.169,0.92796,1.01972,1.20312,0.43831,0.65517,0.36426,0.29198,0.63362,4.4107,1.08577,0.00139898,0.00139898,0.00139898
4,194.154,0.86636,0.89483,1.17682,0.48454,0.60584,0.47902,0.40554,0.52883,1.14158,0.99777,0.00138656,0.00138656,0.00138656
5,241.218,0.83121,0.83983,1.15032,0.55892,0.57937,0.53597,0.47404,0.43977,0.81097,0.95738,0.00137241,0.00137241,0.00137241
6,288.481,0.77855,0.7821,1.12604,0.48805,0.47745,0.44807,0.38586,0.50898,1.81555,0.9963,0.00135826,0.00135826,0.00135826
7,334.986,0.7657,0.71545,1.11674,0.58088,0.66874,0.59895,0.52132,0.46401,0.73947,0.97092,0.00134412,0.00134412,0.00134412
8,381.737,0.7523,0.71958,1.10342,0.45337,0.617,0.48085,0.4264,0.42273,0.8285,0.93519,0.00132997,0.00132997,0.00132997
9,428.104,0.75036,0.69416,1.09617,0.61106,0.71617,0.64351,0.57768,0.39138,0.56698,0.92955,0.00131582,0.00131582,0.00131582
10,474.909,0.71856,0.66503,1.09215,0.53777,0.74226,0.55817,0.50166,0.40082,0.8725,0.92956,0.00130168,0.00130168,0.00130168
11,521.448,0.71868,0.65185,1.09144,0.62438,0.66839,0.6217,0.554,0.41162,0.61482,0.93375,0.00128753,0.00128753,0.00128753
12,568.376,0.70764,0.64143,1.08086,0.66077,0.74096,0.64898,0.57553,0.41041,0.67875,0.93964,0.00127338,0.00127338,0.00127338
13,614.934,0.68778,0.62253,1.07305,0.55665,0.73089,0.60885,0.55335,0.36851,0.6292,0.91027,0.00125923,0.00125923,0.00125923
14,661.402,0.67373,0.61338,1.06157,0.59222,0.79583,0.61616,0.55599,0.37624,0.71682,0.91784,0.00124509,0.00124509,0.00124509
15,708.093,0.67918,0.59227,1.0599,0.66796,0.74684,0.72994,0.66561,0.35729,0.49058,0.91348,0.00123094,0.00123094,0.00123094
16,755.002,0.68189,0.61825,1.05726,0.68548,0.83807,0.70726,0.63555,0.36574,0.65728,0.91025,0.00121679,0.00121679,0.00121679
17,801.497,0.68715,0.60274,1.064,0.67151,0.85341,0.69274,0.62983,0.36421,0.67829,0.91524,0.00120265,0.00120265,0.00120265
18,847.826,0.63461,0.5709,1.04474,0.7019,0.71281,0.69287,0.63551,0.35083,0.47886,0.91445,0.0011885,0.0011885,0.0011885
19,894.189,0.63148,0.57733,1.0461,0.43684,0.49779,0.47144,0.42589,0.36328,0.68397,0.91633,0.00117435,0.00117435,0.00117435
20,940.922,0.62851,0.55427,1.03473,0.65473,0.73328,0.65788,0.60058,0.3531,0.63267,0.91004,0.00116021,0.00116021,0.00116021
21,987.712,0.62556,0.5556,1.03838,0.66132,0.70288,0.67789,0.62134,0.36751,0.60182,0.91538,0.00114606,0.00114606,0.00114606
22,1034.34,0.66256,0.57217,1.04145,0.65803,0.88103,0.69832,0.63959,0.34272,0.66643,0.89794,0.00113191,0.00113191,0.00113191
23,1081.07,0.6209,0.53539,1.03291,0.64053,0.91373,0.68445,0.62655,0.35637,0.68337,0.9096,0.00111776,0.00111776,0.00111776
24,1127.77,0.63347,0.5452,1.03912,0.66179,0.88475,0.71426,0.65292,0.33045,0.57848,0.90045,0.00110362,0.00110362,0.00110362
25,1174.19,0.61808,0.53573,1.03685,0.58597,0.82418,0.69289,0.63949,0.33249,0.52961,0.89375,0.00108947,0.00108947,0.00108947
26,1220.85,0.60528,0.52426,1.02776,0.61868,0.9129,0.71679,0.65601,0.34821,0.50836,0.90645,0.00107532,0.00107532,0.00107532
